Key,Frequency,Percentage
LoansPayableFairValueDisclosure,9,1.79%
FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,9,1.79%
TradingSecuritiesCurrent,9,1.79%
OtherIncomeTaxExpenseBenefitContinuingOperations,9,1.79%
DeferredTaxAssetsOtherLossCarryforwards,9,1.79%
PaymentsToAcquireLifeInsurancePolicies,9,1.79%
ServicingAssetAtFairValueChangesInFairValueResultingFromChangesInValuationInputsOrChangesInAssumptions,9,1.79%
PledgedFinancialInstrumentsNotSeparatelyReportedSecuritiesPledged,9,1.79%
SecuritiesPurchasedUnderAgreementsToResellOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,9,1.79%
StandardProductWarrantyAccrualPeriodIncreaseDecrease,9,1.79%
DebtInstrumentCollateralAmount,9,1.79%
AssetManagementFees,9,1.79%
DebtConversionOriginalDebtAmount,9,1.79%
FairValueHedgeAssetsAtFairValue,9,1.79%
DividendsPayable,9,1.79%
CapitalizedContractCostGross,9,1.79%
LiabilityForAsbestosAndEnvironmentalClaimsNet,9,1.79%
StockIssuedDuringPeriodValueIssuedForServices,9,1.79%
LongTermLoansPayable,9,1.79%
DerivativeFinancialInstrumentsAssetsFairValueDisclosure,9,1.79%
BusinessCombinationAcquiredReceivablesFairValue,9,1.79%
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,9,1.79%
LimitedPartnersCapitalAccountUnitsOutstanding,9,1.79%
FinancingReceivableReclassificationToHeldForSale,9,1.79%
HeldToMaturitySecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,9,1.79%
JuniorSubordinatedDebentureOwedToUnconsolidatedSubsidiaryTrust,9,1.79%
InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,9,1.79%
CreditRiskDerivativeAssetsAtFairValue,9,1.79%
HeldToMaturitySecuritiesNoncurrent,9,1.79%
AssetsHeldForSaleOtherNoncurrent,9,1.79%
RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,9,1.79%
GainsLossesOnSalesOfOtherRealEstate,9,1.79%
ServicingAssetAtAmortizedValue,9,1.79%
MinorityInterestInNetIncomeLossOfConsolidatedEntities,9,1.79%
OtherDeferredCreditsNoncurrent,9,1.79%
FinancingReceivableModificationToTotalFinancingReceivablesExcludingAccruedInterestPercent,9,1.79%
LeveragedLeasesIncomeStatementIncomeFromLeveragedLeases,9,1.79%
PaymentsForProceedsFromLifeInsurancePolicies,9,1.79%
InvestmentsInAndAdvancesToAffiliatesAmountOfEquity,9,1.79%
WeightedAverageDiscountRatePercent,9,1.79%
StockGrantedDuringPeriodValueSharebasedCompensationGross,9,1.79%
AllowanceForDoubtfulAccountsReceivableChargeOffs,9,1.79%
OtherPostretirementDefinedBenefitPlanLiabilitiesCurrentAndNoncurrent,9,1.79%
EnergyRelatedInventoryOtherFossilFuel,9,1.79%
DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,9,1.79%
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesOutstandingBalance,9,1.79%
EffectiveIncomeTaxRateReconciliationTaxContingenciesForeign,9,1.79%
LossContingencySettlementAgreementConsideration1,9,1.79%
ContractWithCustomerAssetGrossCurrent,9,1.79%
MortgageLoansOnRealEstateNewMortgageLoans,9,1.79%
ProceedsFromInterestReceived,9,1.79%
PaymentsToAcquireLand,9,1.79%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,9,1.79%
AccumulatedDistributionsInExcessOfNetIncome,9,1.79%
PaymentsForDepositsOnRealEstateAcquisitions,9,1.79%
ProceedsFromSaleOfOtherPropertyPlantAndEquipment,9,1.79%
DebtInstrumentConvertibleNumberOfEquityInstruments,9,1.79%
MaterialsSuppliesAndOther,9,1.79%
BusinessCombinationSeparatelyRecognizedTransactionsExpensesAndLossesRecognized,9,1.79%
CostOfServicesExcludingDepreciationDepletionAndAmortization,9,1.79%
ConsiderationReceivedForBeneficialInterestObtainedForTransferringFinancialAsset,9,1.79%
AccruedRentNoncurrent,9,1.79%
SalesTypeLeaseLeaseIncome,9,1.79%
RealEstateAcquiredThroughForeclosure,9,1.79%
PrepaidRent,9,1.79%
SignificantAcquisitionsAndDisposalsGainLossOnSaleOrDisposalPretax,9,1.79%
AccruedInsuranceNoncurrent,9,1.79%
InterestExpenseLesseeAssetsUnderCapitalLease,9,1.79%
OtherComprehensiveIncomeFinalizationOfPensionAndNonPensionPostretirementPlanValuationBeforeTax,9,1.79%
CreditRiskDerivativesAtFairValueNet,9,1.79%
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,9,1.79%
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,9,1.79%
DisposalGroupIncludingDiscontinuedOperationDeferredRevenueCurrent,8,1.59%
DefinedBenefitPlanEffectOfPlanAmendmentOnAccumulatedBenefitObligation,8,1.59%
OtherDeferredCreditsCurrent,8,1.59%
FundsHeldForClients,8,1.59%
BusinessAcquisitionContingentConsiderationAtFairValueCurrent,8,1.59%
IndefiniteLivedIntangibleAssetsTranslationAdjustments,8,1.59%
DepositContractsLiabilities,8,1.59%
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParentAvailableforsaleSecurities,8,1.59%
ReinsuranceReceivablesPaidLossesRecoverable,8,1.59%
RedeemableNoncontrollingInterestEquityPreferredCarryingAmount,8,1.59%
PremiumReceivableCreditLossExpenseReversal,8,1.59%
ReinsuranceLossOnUncollectibleAccountsInPeriodAmount,8,1.59%
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossNetOfTaxIncludingPortionAttributableToNoncontrollingInterestAvailableforsaleSecurities,8,1.59%
PremiumsReceivableAllowanceForDoubtfulAccountsWriteOffsAgainstAllowance,8,1.59%
SubscriptionRevenue,8,1.59%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,8,1.59%
PayablesToCustomers,8,1.59%
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulations,8,1.59%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySales,8,1.59%
ImpairmentChargeOnReclassifiedAssets,8,1.59%
UnrealizedLossOnSecurities,8,1.59%
DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum,8,1.59%
MaintenanceRevenue,8,1.59%
BusinessAcquisitionPreexistingRelationshipGainLossRecognized,8,1.59%
PropertyPlantAndEquipmentUsefulLifeAverage,8,1.59%
IncreaseDecreaseInCommodityContractAssetsAndLiabilities,8,1.59%
DerivativeCreditRiskValuationAdjustmentDerivativeLiabilities,8,1.59%
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesCurrentAndNoncurrent,8,1.59%
PublicUtilitiesPropertyPlantAndEquipmentGenerationOrProcessing,8,1.59%
LineOfCreditFacilityCapacityAvailableForSpecificPurposeOtherThanForTradePurchases,8,1.59%
NonRecourseDebt,8,1.59%
MinimumLeasePaymentsSaleLeasebackTransactionsWithinOneYear,8,1.59%
MinimumLeasePaymentsSaleLeasebackTransactionsWithinFiveYears,8,1.59%
GainOnDiscontinuationOfCashFlowHedgeDueToForecastedTransactionProbableOfNotOccurring,8,1.59%
MinimumLeasePaymentsSaleLeasebackTransactionsWithinThreeYears,8,1.59%
ReceivablesHeldForSaleAmount,8,1.59%
MinimumLeasePaymentsSaleLeasebackTransactionsWithinFourYears,8,1.59%
NonoperatingGainsLosses,8,1.59%
DisposalGroupIncludingDiscontinuedOperationLongLivedAssetsNoncurrent,8,1.59%
MinimumLeasePaymentsSaleLeasebackTransactionsWithinTwoYears,8,1.59%
SecuritiesBorrowedLiability,8,1.59%
LifeInsuranceInForceAssumed,8,1.59%
LifeInsuranceInForceCeded,8,1.59%
HeldToMaturitySecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,8,1.59%
IncreaseDecreaseInCollateralHeldUnderSecuritiesLending,8,1.59%
SecuritiesLoanedNotOffsetPolicyElectionDeduction,8,1.59%
InvestmentsAndCash,8,1.59%
DebtSecuritiesHeldToMaturityTransferAmount,8,1.59%
OtherRestrictedAssetsCurrent,8,1.59%
ValueOfBusinessAcquiredVOBA,8,1.59%
OciLiabilityForFuturePolicyBenefitGainLossAfterReclassificationAdjustmentAndTax,8,1.59%
MarketRiskBenefitLiabilityAmount,8,1.59%
LoansAssumed,8,1.59%
DebtSecuritiesAvailableForSaleExcludingAccruedInterestAllowanceForCreditLossWriteoff,8,1.59%
DebtSecuritiesAvailableForSaleExcludingAccruedInterestAllowanceForCreditLossNotPreviouslyRecorded,8,1.59%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpensePeriodIncreaseDecrease,8,1.59%
AssumedPremiumsEarnedPropertyAndCasualty,8,1.59%
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,8,1.59%
DeferredTaxAssetsDeferredGainOnSaleLeasebackTransaction,8,1.59%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredButNotReportedIBNRClaimsAmount,8,1.59%
IncomeLossAttributableToNoncontrollingInterest,8,1.59%
FiniteLivedNoncompeteAgreementsGross,8,1.59%
DeferredOfferingCosts,8,1.59%
DebtInstrumentConvertibleThresholdPercentageOfStockPriceTrigger,8,1.59%
CostsAndExpensesRelatedParty,8,1.59%
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseDepletion,8,1.59%
AccruedProfessionalFeesCurrentAndNoncurrent,8,1.59%
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInInvestmentIncome,8,1.59%
EmployeeStockOwnershipPlanESOPNumberOfSuspenseShares,8,1.59%
SupplementalInformationForPropertyCasualtyInsuranceUnderwritersPaidClaimsAndClaimsAdjustmentExpense,8,1.59%
ProceedsFromSaleOfMortgageLoansHeldForSale,8,1.59%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGrantDateIntrinsicValue,8,1.59%
AccrualForEnvironmentalLossContingenciesComponentAmount,8,1.59%
IncreaseDecreaseInOtherEmployeeRelatedLiabilities,8,1.59%
DefinedBenefitPlanAdministrationExpenses,8,1.59%
WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,8,1.59%
InventoryFinishedGoodsAndWorkInProcess,8,1.59%
ForeignCurrencyDerivativesAtFairValueNet,8,1.59%
AmortizationOfLeasedAsset,8,1.59%
IncreaseDecreaseInDeferredLiabilities,8,1.59%
GainOnCashFlowHedgeIneffectiveness,8,1.59%
RevenuesNetOfInterestExpense,8,1.59%
SecuritiesBorrowedGross,8,1.59%
OtherLiabilitiesAndDeferredRevenueNoncurrent,8,1.59%
DeferredCompensationShareBasedArrangementsLiabilityCurrent,8,1.59%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedFinancialAssets,8,1.59%
SecuredDebtCurrent,8,1.59%
DefinedBenefitPlanTargetPlanAssetAllocationsRangeMinimum,8,1.59%
CapitalizedExploratoryWellCostsThatHaveBeenCapitalizedForPeriodOfOneYearOrLess,8,1.59%
AccretionExpenseIncludingAssetRetirementObligations,8,1.59%
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties,8,1.59%
CapitalizedCostsUnprovedProperties,8,1.59%
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,8,1.59%
CapitalizedCostsOilAndGasProducingActivitiesNet,8,1.59%
CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves,8,1.59%
NotesPayableRelatedPartiesCurrentAndNoncurrent,8,1.59%
OperatingLeasesFutureMinimumPaymentsDueInRollingYearFour,8,1.59%
OperatingLeasesFutureMinimumPaymentsDueInRollingYearThree,8,1.59%
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,8,1.59%
PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,8,1.59%
RealEstateInvestmentsUnconsolidatedRealEstateAndOtherJointVentures,8,1.59%
FinancialInstrumentsOwnedAtFairValue,8,1.59%
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,8,1.59%
CostOfOtherPropertyOperatingExpense,8,1.59%
IncreaseDecreaseInDerivativeAssets,8,1.59%
StockIssuedDuringPeriodSharesShareBasedCompensationForfeited,8,1.59%
OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseAdjustmentsAfterTax,8,1.59%
OtherComprehensiveIncomeLossReclassificationPensionAndOtherPostretirementBenefitPlansNetTransitionAssetObligationRecognizedInNetPeriodicBenefitCostTax,8,1.59%
NotesIssued,8,1.59%
LossContingencyClaimsSettledAndDismissedNumber,8,1.59%
CashSurrenderValueFairValueDisclosure,8,1.59%
LoansAndLeasesReceivableImpairedTroubledDebtRestructuringAmount,8,1.59%
FinancingReceivableModificationsPreModificationRecordedInvestment1,8,1.59%
DepositsForeign,8,1.59%
BusinessDevelopment,8,1.59%
HeldToMaturitySecuritiesContinuousUnrealizedLossPositionAggregateLosses,8,1.59%
OtherPostretirementBenefitsPayableNoncurrent,8,1.59%
OtherPostretirementDefinedBenefitPlanNoncurrentLiabilities,8,1.59%
OtherInventoryCapitalizedCosts,8,1.59%
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,8,1.59%
LoansAndLeasesReceivableImpairedEndOfPeriodNotInAllowanceForLoanLoss,8,1.59%
FinancialServicesCosts,8,1.59%
ProgressPaymentsNettedAgainstInventoryForLongTermContractsOrPrograms,8,1.59%
ProceedsFromPaymentsForFederalFundsSoldAndSecuritiesPurchasedUnderAgreementsToResellNet,8,1.59%
FairValueLiabilitiesMeasuredOnRecurringBasisBorrowings,8,1.59%
FinancingReceivableAccruedInterestAfterAllowanceForCreditLoss,8,1.59%
FeesAndCommissionsCreditAndDebitCards,8,1.59%
IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,8,1.59%
ServicingAsset,8,1.59%
LeasesReceivableCommercialLeaseFinancing,8,1.59%
TradingLiabilities,8,1.59%
InterestRevenueExpense,8,1.59%
FinancialAssetsSoldUnderAgreementsToRepurchaseGrossIncludingNotSubjectToMasterNettingArrangement,8,1.59%
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesTax,8,1.59%
InventoryRecallExpense,8,1.59%
CapitalLeasesFutureMinimumSubleaseRentals,8,1.59%
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialLiabilities,8,1.59%
OtherAssetsHeldForSaleCurrent,8,1.59%
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialAssets,8,1.59%
IndefiniteLivedIntangibleAssetsTranslationAndPurchaseAccountingAdjustments,8,1.59%
ProductLiabilityAccrualPeriodExpense,8,1.59%
EntityWideInformationRevenueFromExternalCustomerAmount,8,1.59%
VariableInterestEntityCarryingAmountOfLiabilitiesConsolidatedVIE,8,1.59%
DebtSecurities,8,1.59%
ReceivableWithImputedInterestEffectiveYieldInterestRate,8,1.59%
IncreaseDecreaseInPayablesToBrokerDealers,8,1.59%
OtherCashEquivalentsAtCarryingValue,8,1.59%
NontradeReceivablesNoncurrent,8,1.59%
SupplementalDeferredPurchasePrice,8,1.59%
InterestIncomeRelatedParty,8,1.59%
NotionalAmountOfInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,8,1.59%
SettlementLiabilitiesCurrent,8,1.59%
FinancingReceivableModificationsPostModificationRecordedInvestment1,8,1.59%
NotionalAmountOfNonderivativeInstrumentsDesignatedAsNetInvestmentHedges,8,1.59%
InterestExpenseFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchase,8,1.59%
InvestmentAdvisoryManagementAndAdministrativeFees,8,1.59%
TradingSecuritiesCost,8,1.59%
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,8,1.59%
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFive,8,1.59%
IncreaseDecreaseInLossAndLossAdjustmentExpenseReserve,8,1.59%
DebtInstrumentPeriodicPayment,8,1.59%
BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue,8,1.59%
LoansPayableCurrent,8,1.59%
PostemploymentBenefitsLiabilityCurrent,8,1.59%
LineOfCreditFacilityIncreaseDecreaseOtherNet,8,1.59%
FinancingReceivableAllowanceForCreditLossPurchasedWithCreditDeteriorationIncrease,8,1.59%
DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstateRangeMaximum,8,1.59%
DebtSecuritiesHeldToMaturityCreditLossExpenseReversal,8,1.59%
FederalHomeLoanBankAdvancesLongTerm,8,1.59%
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContinuingOperations,8,1.59%
AccruedLiabilitiesFairValueDisclosure,8,1.59%
CapitalLeasedAssetsNumberOfUnits,8,1.59%
FinancingReceivableModificationToTotalFinancingReceivablesPercent,8,1.59%
HeldToMaturitySecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,8,1.59%
PaymentsForOriginationOfMortgageLoansHeldForSale,8,1.59%
TemporaryEquityLiquidationPreference,8,1.59%
DepositsFairValueDisclosure,8,1.59%
ForeclosedAssets,8,1.59%
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGain,8,1.59%
DeferredTaxAssetParentsBasisInDiscontinuedOperation,8,1.59%
LifeInsuranceCorporateOrBankOwnedChangeInValue,8,1.59%
AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear,8,1.59%
IncreaseDecreaseInRegulatoryLiabilities,8,1.59%
PaymentsForOtherOperatingActivities,8,1.59%
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,8,1.59%
CapitalizedExploratoryWellCostChargedToExpense,8,1.59%
IncreaseDecreaseInOutstandingChecksFinancingActivities,8,1.59%
MortgageLoansOnRealEstateFaceAmountOfMortgages,8,1.59%
IncreaseDecreaseInAccountsReceivableRelatedParties,8,1.59%
OwnedPropertyManagementCosts,8,1.59%
AccruedRentCurrentAndNoncurrent,8,1.59%
OtherCostOfServices,8,1.59%
EffectiveIncomeTaxRateReconciliationTaxContingenciesDomestic,8,1.59%
ContractWithCustomerLiabilityCumulativeCatchUpAdjustmentToRevenueChangeInMeasureOfProgress,8,1.59%
OilAndGasRevenue,8,1.59%
CommonStockHeldInTrust,8,1.59%
InsuredEventGainLoss,8,1.59%
ElectricDomesticRegulatedRevenue,8,1.59%
AvailableForSaleEquitySecuritiesGrossUnrealizedGain,8,1.59%
DeferredCompensationCashBasedArrangementsLiabilityCurrent,8,1.59%
InterestAndDividendIncomeSecuritiesAvailableForSale,8,1.59%
SalesTypeLeaseSellingProfitLoss,8,1.59%
DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssets,8,1.59%
RealEstateInvestmentsJointVentures,8,1.59%
DerivativeExcludedComponentGainLossRecognizedInEarnings,8,1.59%
ProceedsFromPartnershipContribution,8,1.59%
FranchiseRevenue,8,1.59%
OtherIncreaseDecreaseInEnvironmentalLiabilities,8,1.59%
LeveragedLeasesNetInvestmentInLeveragedLeasesDisclosureDeferredTaxesArisingFromLeveragedLeases,8,1.59%
ResidualValueOfLeasedAsset,8,1.59%
ProceedsFromOtherOperatingActivities,8,1.59%
NotesReceivableRelatedPartiesCurrent,8,1.59%
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,8,1.59%
FeesAndCommissionsFiduciaryAndTrustActivities,8,1.59%
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendPayments,8,1.59%
CommonStockDividendsShares,8,1.59%
TaxCutsAndJobsActOf2017DecreaseInDeferredTaxLiabilityDueToTransitionTax,7,1.39%
ImpairedAssetsToBeDisposedOfByMethodOtherThanSaleCarryingValueOfAsset,7,1.39%
NetInvestmentInDirectFinancingAndSalesTypeLeases,7,1.39%
CostMethodInvestmentsOriginalCost,7,1.39%
FiniteLivedIntangibleAssetsTranslationAndPurchaseAccountingAdjustments,7,1.39%
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueNonvested,7,1.39%
SalesRevenueServicesGross,7,1.39%
InventoryPartsAndComponentsNetOfReserves,7,1.39%
HedgedAssetFairValueHedge,7,1.39%
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParentAvailableforsaleSecurities,7,1.39%
IncreaseDecreaseInReinsurancePayables,7,1.39%
ReserveForLossesAndLossAdjustmentExpenses,7,1.39%
SecuritiesLoanedFairValueOfCollateral,7,1.39%
SecuredBorrowingsGrossDifferenceAmount,7,1.39%
OtherComprehensiveIncomeReclassificationAdjustmentForWriteDownOfSecuritiesIncludedInNetIncomeBeforeTax,7,1.39%
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToNoncontrollingInterest,7,1.39%
NoncontrollingInterestInNetIncomeLossOtherNoncontrollingInterestsRedeemable,7,1.39%
SalesReturnsGoods,7,1.39%
BusinessCombinationAcquiredReceivablesEstimatedUncollectible,7,1.39%
DerivativeVariableInterestRate,7,1.39%
NetInvestmentHedgeDerivativesAtFairValueNet,7,1.39%
PriceRiskCashFlowHedgeLiabilityAtFairValue,7,1.39%
PledgedAssetsNotSeparatelyReportedFinanceReceivables,7,1.39%
CashFlowsBetweenTransferorAndTransfereeBeneficialInterest,7,1.39%
StockIssuedDuringPeriodSharesEmployeeStockOwnershipPlan,7,1.39%
DividendsStock,7,1.39%
AssumptionForFairValueOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesWeightedAverageLife,7,1.39%
CostOfGoodsSoldDepreciationAndAmortization,7,1.39%
LicenseAndServicesRevenue,7,1.39%
HeldToMaturitySecuritiesDebtMaturitiesSingleMaturityDateFairValue,7,1.39%
VariableLeasePayment,7,1.39%
UnrealizedLossOnForeignCurrencyDerivativesBeforeTax,7,1.39%
IncreaseDecreaseInInsuranceSettlementsReceivable,7,1.39%
RegulatedEntityOtherAssetsNoncurrent,7,1.39%
CommonStockholdersEquity,7,1.39%
LoansInsurancePolicy,7,1.39%
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseDepreciation,7,1.39%
CustomerAdvancesForConstruction,7,1.39%
VariableInterestEntityCarryingAmountOfCollateralizedAssetsUnconsolidatedVIE,7,1.39%
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerBasicShare,7,1.39%
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciplePerDilutedShare,7,1.39%
SaleLeasebackTransactionGrossProceedsFinancingActivities,7,1.39%
PublicUtilitiesPropertyPlantAndEquipmentDistribution,7,1.39%
PublicUtilitiesPropertyPlantAndEquipmentTransmission,7,1.39%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisGainLossIncludedInOtherComprehensiveIncomeLoss,7,1.39%
SegmentReportingInformationInvestmentInEquityMethodInvestees,7,1.39%
SaleOfStockConsiderationReceivedPerTransaction,7,1.39%
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInOtherIncome,7,1.39%
PropertyPlantAndEquipmentOtherNet,7,1.39%
VariableLeaseIncome,7,1.39%
MinimumLeasePaymentsSaleLeasebackTransactionsThereafter,7,1.39%
RealEstateInvestmentsOther,7,1.39%
PolicyholderAccountBalanceWeightedAverageCreditingRate,7,1.39%
LiabilityForFuturePolicyBenefitRemeasurementGainLoss,7,1.39%
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedNotOffsetPolicyElectionDeduction,7,1.39%
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,7,1.39%
MarketRiskBenefitAfterIncreaseDecreaseFromInstrumentSpecificCreditRisk,7,1.39%
HybridInstrumentsAtFairValueNet,7,1.39%
IncreaseDecreaseInOtherDeposits,7,1.39%
DeferredPolicyAcquisitionCostUnrealizedInvestmentGainLoss,7,1.39%
ProceedsFromPaymentsForSecuritiesPurchasedUnderAgreementsToResell,7,1.39%
LiabilityForFuturePolicyBenefitExpectedNetPremiumBeforeReinsuranceAfterDiscountRateChange,7,1.39%
DebtSecuritiesAvailableForSaleAllowanceForCreditLossPurchasedWithCreditDeteriorationIncrease,7,1.39%
LiabilityForFuturePolicyBenefitReinsuranceRecoverableAfterAllowance,7,1.39%
CashSurrenderValueDuePolicyholdersAmount,7,1.39%
DebtSecuritiesAvailableForSaleAllowanceForCreditLossRecovery,7,1.39%
CashPeriodIncreaseDecrease,7,1.39%
FairValueOptionAggregateDifferencesLoansAndLongTermReceivables,7,1.39%
FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresMaximumAmountAvailable,7,1.39%
LiabilityForFuturePolicyBenefitsPaymentForBenefits,7,1.39%
MarketRiskBenefitChangeInFairValueGainLoss,7,1.39%
IncreaseDecreaseInFuturePolicyBenefitReserves,7,1.39%
AllowanceForLoanAndLeaseLossesRealEstate,7,1.39%
PresentValueOfFutureInsuranceProfitsAmortizationExpense1,7,1.39%
DerivativesUsedInNetInvestmentHedgeTaxExpenseBenefit,7,1.39%
EnvironmentalExpenseAndLiabilities,7,1.39%
AmountAvailableForDividendDistributionWithoutPriorApprovalFromRegulatoryAgency,7,1.39%
GainLossOnForeignCurrencyCashFlowHedgeIneffectiveness,7,1.39%
TransferInvestments,7,1.39%
IncomeTaxEffectsAllocatedDirectlyToEquityEquityTransactions,7,1.39%
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsOutstandingWeightedAverageRemainingContractualTerm,7,1.39%
EquityMethodInvestmentQuotedMarketValue,7,1.39%
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,7,1.39%
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,7,1.39%
ForeignCurrencyFairValueHedgeLiabilityAtFairValue,7,1.39%
IncreaseDecreaseInAccountsPayableRelatedParties,7,1.39%
IncreaseDecreaseInDueFromRelatedParties,7,1.39%
IncreaseDecreaseInDueToRelatedParties,7,1.39%
CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,7,1.39%
SecuritiesSoldUnderAgreementsToRepurchaseCollateralRightToReclaimCash,7,1.39%
FundsHeldUnderReinsuranceAgreementsAsset,7,1.39%
CommonEquityTierOneCapital,7,1.39%
TierOneRiskBasedCapitalRequiredForCapitalAdequacy,7,1.39%
TierOneRiskBasedCapitalRequiredToBeWellCapitalized,7,1.39%
RetainedEarningsCumulativeEffectOfChangeInAccountingPrincipleNetOfTax,7,1.39%
SecuritiesBorrowedOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,7,1.39%
ContractWithCustomerAssetCumulativeCatchUpAdjustmentToRevenueChangeInMeasureOfProgress,7,1.39%
GainLossOnDispositionOfOtherAssets,7,1.39%
ForeignCurrencyExchangeRateRemeasurement1,7,1.39%
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock,7,1.39%
EffectiveIncomeTaxRateReconciliationTaxSettlementsOther,7,1.39%
CommitmentsFairValueDisclosure,7,1.39%
FiniteLivedIntangibleAssetsAmortizationExpenseRollingAfterYearFive,7,1.39%
IncreaseDecreaseInDueToAffiliates,7,1.39%
PaymentsForDepositsAppliedToDebtRetirements,7,1.39%
